audit,2011A,2011B,2011C,2011D,2011E,2011F,2012A,2012B,2012C,2012D,2012E,2012F,2013A,2013B,2013C,2013D,2013E,2013F,2014A,2014B,2014C,2014D,2014E,2014F,2015A,2015B,2015C,2015D,2015E,2015F
Y,66.15,60.19,88.71,55572131000,0.92,4.19,105.11,48.75,81.79,69170633000,0.62,3.48,117.15,46.05,86.49,73441327000,0.51,3.16,122.56,44.93,85.61,63334335000,0.51,3.05,80.87,55.29,63.18,75640838000,0.42,2.59
Y,54.03,64.92,67.03,53048212000,0.05,0,54.87,64.57,61.61,52399613000,0.06,0,54.22,64.84,89.17,51713233000,0.06,0,55.18,64.44,80.6,51147470000,0.06,0,9.03,91.72,388.53,38256138000,0.06,0
Y,882.83,10.17,50.45,6841344000,1.42,4.14,1557.51,6.03,41.97,5618385000,1.35,3.73,1177.59,7.83,42.82,5339825000,1.51,3.53,657.06,13.21,49.52,7851457000,1.22,2.67,417.53,19.32,40.3,5608038000,1.29,2.72
Y,260.77,27.72,48.87,1.12E+11,2.18,28.89,264.24,27.45,39.78,1.17E+11,1.91,27.87,293.98,25.38,61.3,1.18E+11,1.15,17.36,280.5,26.28,47.92,1.24E+11,1.29,18.64,257.96,27.94,50.56,1.19E+11,1.3,16.6
Y,89.63,52.73,73.69,5.58E+11,0.3,2.46,40.66,71.09,113.06,4.09E+11,0.2,3.21,40.71,71.07,84.89,4.30E+11,0.11,2.88,34.28,74.47,97.12,4.19E+11,0.2,3.5,34.76,74.21,104.98,3.96E+11,0.2,8.56
Y,259.52,27.81,43.92,71024111000,0.79,52.59,2174.68,4.4,34.79,50482246000,0.39,27.53,298.57,25.09,67.9,58729097000,0.66,113.87,422.39,19.14,52.34,50773483000,0.27,139.75,148.52,40.24,223.53,44717013000,0.23,72.25
Y,52.92,65.39,120.99,15691740000,2.02,11.5,81.18,55.19,97.05,19154581000,1.46,7.76,105.32,48.7,92.47,23372476000,0.94,6.17,100.53,49.87,80.82,23345928000,0.86,5.65,70.05,58.81,75.04,20594320000,1,5.77
Y,170.64,36.95,69.15,60778729000,1.63,6.82,175.01,36.36,76.61,76153402000,1.18,6.12,165.56,37.66,68.81,76729509000,0.98,6.17,142.98,41.16,57.41,76505408000,1.02,6,119.1,45.64,53.6,76501096000,1.04,5.33
Y,11.74,89.49,1817.75,14141725000,0.46,0,10.13,90.8,3077.79,15347837000,0.3,0,5.48,94.8,5185.35,15115148000,0.23,0,10.83,90.23,3653.47,16358861000,0.19,0,5.51,94.78,4811.02,16497865000,0.17,0
Y,20.68,82.86,151.82,11887539000,0.45,189.96,13.95,87.76,170.81,19435289000,0.3,84.18,79.32,55.77,57.45,39695386000,0.58,28.23,72.46,57.98,9.54,58604145000,0.05,3.14,49.95,66.69,49.31,45894072000,0.05,13.01
Y,12.69,88.74,443.61,2.81E+11,0.72,22.11,12.53,88.87,504.84,3.07E+11,0.64,20.24,16.14,86.1,347.58,3.34E+11,0.5,19.19,10.3,90.67,388.02,3.34E+11,0.48,18.52,12.9,88.57,296.18,3.48E+11,0.51,19.13
Y,148.03,40.32,67.96,24906759000,0.63,15.08,126.26,44.2,62.57,21268067000,0.36,33.49,206.16,32.66,71.31,17084148000,0.97,26.41,48.81,67.2,157.69,19052798000,0.67,11.1,78.07,56.16,101.8,30632344000,0.66,14.55
Y,46.71,68.16,163.93,96578257000,1.6,7.69,62.94,61.37,106.98,1.40E+11,1.7,6.39,18.99,84.04,326.65,1.03E+11,1.01,3.87,46.52,68.25,208.24,1.50E+11,1.48,9,53.08,65.32,189.15,1.63E+11,0.98,5.77
Y,9.97,90.93,573.8,5139207000,0.37,0,8.66,92.03,721.29,5022379000,0.14,0,10.67,90.36,620.12,4551229000,0.09,0,12.44,88.94,295.93,4165645000,0.23,0,64.45,60.81,100.75,5545822000,0.11,8.73
Y,416.77,19.35,54.63,6123436000,1.21,6.54,416.01,19.38,52.86,6621679000,1.28,6.98,349.31,22.26,65.24,6678357000,1.6,10.3,254.41,28.22,55.63,6574592000,1.22,8.52,285.99,25.91,69.07,7984529000,1.42,10.49
Y,103.38,49.17,82.8,69041513000,0.48,3.39,91.22,52.3,108.39,74301519000,0.49,3.63,111.07,47.38,106.37,76719687000,0.29,2.79,177.33,36.06,70.33,79597207000,0.25,2.7,151.77,39.72,111.12,52447671000,0.42,4.47
Y,160.43,38.4,82.33,3.03E+11,1.02,6.33,160.07,38.45,109.96,3.18E+11,0.85,6.68,174.04,36.49,94.04,2.96E+11,0.45,5.66,177.78,36,51.69,2.65E+11,0.61,6.09,169.66,37.08,41.44,2.16E+11,0.38,3.85
Y,122.21,45,53.09,25503010000,0.96,4.3,160.43,38.4,35.27,31866164000,0.87,4.44,134.23,42.69,51.88,38654649000,0.77,3.83,107.85,48.11,70.65,39489082000,0.75,3.71,122.83,44.88,94.07,46287194000,0.81,6.19
Y,86.55,53.61,114.48,9667772000,2,8.63,109.58,47.71,137.59,12590998000,1.51,6.82,387.99,20.49,66.65,12327756000,1.16,4.32,480.5,17.23,49.41,15343856000,1.02,3.32,334.23,23.03,44.44,12669685000,0.88,2.63
Y,124.24,44.6,75.61,32981707000,1.03,11.6,180.85,35.61,73.81,35706700000,0.69,9.36,245.35,28.96,79.06,41598236000,1.17,16.28,1096.01,8.36,30.08,34367122000,0.83,7.33,0,0,17.15,30475282000,0.38,2.39
Y,4.55,95.65,759.29,18557694000,0.99,899.46,5.01,95.23,603.73,15378864000,0.36,299.78,5.17,95.08,812.26,18423031000,0.19,13.86,8.23,92.4,628.66,19733197000,0.22,2.54,24.82,80.11,242.21,17729164000,0.27,1.51
Y,566.75,15,35.44,1.52E+11,0.2,2.18,1703.55,5.54,12.61,1.29E+11,0.1,4.39,2568.83,3.75,6.4,1.22E+11,0.1,7.66,421.23,19.19,228.77,1.09E+11,0.11,19.65,6.23,94.14,319.68,1.12E+11,0.08,0
Y,165.21,37.71,99.08,22511679000,1.13,34.88,190.91,34.38,86.32,24993233000,1.1,27.04,176.25,36.2,65.06,25813500000,1.05,30.26,158.21,38.73,85.3,25292178000,0.96,32.91,171.51,36.83,67.94,27852844000,0.94,32.7
Y,22.88,81.38,226.95,87328486000,0.62,5.18,38.95,71.97,597.38,1.03E+11,0.6,5.56,55.28,64.4,117.59,98463146000,0.51,5.1,90.14,52.59,123.01,93418682000,0.57,5.7,47.66,67.72,244.26,76725772000,0.59,5.73
Y,361.43,21.67,85.83,2.33E+11,0.76,19.67,260.08,27.77,91.46,3.16E+11,0.74,19.65,187.33,34.8,123.49,3.73E+11,0.66,21.47,0,0,46.86,2.48E+11,0.72,23.68,255.32,28.14,246.78,2.16E+11,0.6,16.99
Y,68.27,59.43,142.65,12745931000,0.69,7.63,71.03,58.47,132.19,13488407000,0.64,7.3,77.79,56.25,155.68,14959870000,0.99,15.46,38.48,72.21,256.19,12875203000,1.01,28.6,53.39,65.19,202.37,15167163000,1.2,44.28
Y,1328.73,7,19.41,35881343000,2.03,8.33,668.53,13.01,21.25,24846926000,1.48,6.2,550.92,15.36,35.74,25739556000,1.73,6.13,391.47,20.35,37.59,24829506000,1.62,5.73,602.95,14.23,39.53,32362685000,1.3,5.01
Y,35.23,73.95,105.71,58799925000,0.07,0,27.69,78.31,87.42,50575892000,0.15,0,119.51,45.56,4.22,29530866000,0.11,102.51,66.88,59.92,1353.91,34154339000,0,0,73.94,57.49,48.55,34809822000,0,0
Y,73.07,57.78,159.42,74102826000,1.68,21.66,124.57,44.53,107.44,91545358000,1.85,15.8,589.86,14.5,52.02,69375449000,1.82,15,367.61,21.39,56.42,57115028000,1.57,15.8,183.95,35.22,50.64,30446911000,0.34,3.55
Y,323.4,23.62,84.34,3.63E+11,0.9,4.6,299.28,25.04,79.94,3.47E+11,0.91,4.99,394.23,20.23,77.71,3.19E+11,0.61,3.26,613.7,14.01,68.06,3.27E+11,0.73,4.21,0,0,40.68,2.18E+11,0.41,2.6
Y,11.85,89.41,409.7,31475041000,0.65,1.84,10.37,90.61,459.92,28587822000,0.65,1.8,10.09,90.83,408.43,27397984000,0.67,1.78,7.66,92.88,612.75,27436744000,0.89,2.47,11.36,89.8,469.15,29040180000,0.89,2.88
Y,547.43,15.45,64.96,2.97E+11,1.73,15.08,610.63,14.07,71.81,3.55E+11,1.76,17.3,512.72,16.32,67.41,3.63E+11,1.63,15.86,342.93,22.58,81.98,3.60E+11,1.66,16.29,288.02,25.77,72.04,3.35E+11,1.7,16.6
Y,100.18,49.96,144.16,1.18E+11,0.86,29.5,197.89,33.57,33.75,86399676000,0.55,18.69,3277.65,2.96,26.27,57835496000,0.51,22.41,0,0,19.71,42790257000,0.38,51.69,8942.98,1.11,40.6,36326271000,0.58,103.25
Y,17.12,85.38,284.06,1.40E+11,0.9,11.48,12.64,88.78,413.62,1.49E+11,0.63,7.41,13.61,88.02,289.4,1.74E+11,0.72,7.45,22.41,81.69,197.27,1.78E+11,0.77,6.89,17.86,84.85,432.49,2.14E+11,0.78,6.57
Y,222.58,31,26.97,22466153000,0.29,13.53,62.13,61.68,95.21,11594831000,0.54,46.5,37.49,72.73,110.23,10043250000,0.82,40.16,59.33,62.76,71.9,4968364000,0.98,19.3,82.75,54.72,79.37,5277522000,1.09,14.44
Y,240.41,29.38,138.92,40274320000,4.88,0,127.11,44.03,167.57,39320011000,5.06,0,119.59,45.54,167.84,39246638000,5.15,0,121.66,45.11,166.06,43638928000,5.48,0,0,0,0,0.00E+00,0,0
Y,147.36,40.43,156.82,73362719000,0.88,5.11,188.83,34.62,122.62,1.18E+11,1.13,7.84,341.39,22.66,88.51,1.25E+11,0.66,4.66,222.79,30.98,52.36,71961837000,0.54,4.2,206.27,32.65,130.2,56876734000,0.65,6.72
Y,44.19,69.35,165.58,34263557000,0.61,9.53,32.81,75.29,207.9,31202420000,0.51,9.84,49.59,66.85,366.04,21849049000,0.49,365.99,96.89,50.79,191.13,71550155000,0.12,220.02,116.6,46.17,245.4,73405373000,0.06,323.9
Y,28.92,77.57,197.63,83189646000,1.03,8.71,20.17,83.22,260.44,74328103000,0.87,7.67,58.34,63.15,419.82,87516105000,0.59,7.47,69.51,58.99,105.39,76525885000,0.4,9.17,114.93,46.53,130.89,91741029000,0.51,6.8
Y,244.84,29,109.41,38159928000,0.52,0,385.79,20.59,54.59,14287133000,0.06,23.01,284.17,26.03,70.13,15955542000,0.4,82.23,222.61,31,82.83,17971928000,0.14,0,219.12,31.34,82.52,18050611000,0,0
Y,76.05,56.8,198.78,26514625000,1.32,8.77,53.61,65.1,259,24637691000,0.85,5.36,79.93,55.58,112.91,25879435000,0.7,4.2,233.31,30,54.18,23699547000,0.63,3.54,266.14,27.31,46.01,25211311000,0.6,3.54
Y,130.51,43.38,103.2,14902721000,0.91,4388.48,58.87,62.94,94.21,10125054000,0.9,8901.66,18.06,84.7,119.62,7330350000,0.52,0,13.64,88,177.97,3079100000,0.12,0,21.03,82.62,122.84,2167820000,0,0
Y,111.86,47.2,28.39,31790100000,0.97,148.27,82.84,54.69,50.24,27012787000,1.03,119.59,90.47,52.5,45.16,23292920000,1.05,87.02,85.25,53.98,49.17,21119024000,0.79,59.7,52.14,65.73,80.91,10254106000,1.07,59.83
Y,64.17,60.91,241.12,38988493000,2.11,37.44,115.89,46.32,156.17,61204315000,2.53,233.24,76.42,56.68,200.47,65689468000,2.08,467.42,48.16,67.5,288.33,53371304000,1.87,1760.13,56.67,63.83,269.12,63811600000,0,0
Y,178.8,35.87,40.84,27742254000,1.32,5.25,132.64,42.98,53.65,38925125000,1.07,4.64,156.76,38.95,74.12,42576122000,0.9,4.99,239.7,29.44,56.23,51907857000,0.78,5.76,202.37,33.07,66.07,56290610000,0.76,6.34
Y,25.78,79.5,372.46,34253330000,1.19,17.79,52.06,65.76,336.01,42528445000,0.76,7.31,46.8,68.12,116.42,45187321000,0.55,5.89,71.44,58.33,36.79,65265836000,0.21,3.05,153.97,39.37,69.61,80784543000,0.18,3.52
Y,93.48,51.68,53.21,74551896000,0.73,27.28,72.25,58.06,52.74,67762882000,0.69,26.71,60.91,62.15,55.32,63381183000,0.63,22.24,56.97,63.7,77.14,69047745000,0.65,24.71,52,65.79,77.58,68463541000,0.59,22.28
Y,1.82,98.21,13695.18,39142836000,0.02,0,1.66,98.36,24800.54,39997523000,0.02,0,1.95,98.09,12070.01,38336011000,0.02,0,2,98.04,9370.46,36463072000,0.02,0,2.37,97.69,8879.68,37678971000,0.02,0
Y,212.69,31.98,100.3,7543692000,0.08,1.08,63.38,61.21,69.43,5641079000,0.2,3.96,46.61,68.21,246.5,4847309000,0.52,6.79,159.4,38.55,88.1,4474718000,0.78,5.39,374.01,21.1,92.47,3873283000,0.67,5.38
Y,136.47,42.29,73.63,7.40E+11,1.52,10.79,141.04,41.49,48.63,7.44E+11,1.39,10.82,148.01,40.32,61.82,7.74E+11,1.19,11.3,152.66,39.58,93.35,7.05E+11,1.09,10.15,146.05,40.64,96.94,6.70E+11,0.26,2.4
Y,48.76,67.22,683.37,10981697000,0.2,93.21,30.61,76.57,1099.7,10347080000,0.15,208.51,33.23,75.06,220.36,9439067000,0.26,0,28.7,77.7,159.74,8559722000,0.33,0,30.7,76.51,98.58,7204701000,0.22,55.4
Y,70.93,58.5,64.6,1.48E+11,1.27,5.88,105.62,48.63,62.89,1.22E+11,1.17,4.4,83.03,54.64,83.1,1.09E+11,1.28,4.86,68.53,59.34,107.8,1.07E+11,0.97,4.06,229.46,30.35,83.01,2.22E+11,1.25,3.88
Y,161.1,38.3,196.87,7371413000,0.06,1.65,95.35,51.19,30.8,3628690000,0.04,1.58,96.05,51.01,24.38,3530379000,0.02,0.7,93.19,51.76,11.12,3305390000,0.02,0.81,92.19,52.03,8.71,3188374000,0.04,3.39
Y,123.91,44.66,42.76,96117285000,0.51,1.58,116.95,46.09,47.17,94159563000,0.53,1.24,111.01,47.39,42.39,94837481000,0.59,1.27,157.55,38.83,38.13,83258071000,0.64,1.41,78.93,55.89,62.73,58958882000,0.83,1.77
Y,111.6,47.26,57.58,1.51E+11,1.01,10.24,168.9,37.19,36.93,1.23E+11,0.98,8.63,168.84,37.2,150.18,93182957000,0.87,7.04,95.8,51.07,199.56,47338361000,0.77,4.99,86.03,53.76,223.67,43249235000,0.97,4.72
Y,97.92,50.53,60.85,1.93E+11,0.43,3.48,91.73,52.16,55.34,1.66E+11,0.29,3.34,91.21,52.3,33.54,1.66E+11,0.22,3.59,103.87,49.05,11.33,1.44E+11,0.36,5.38,97.59,50.61,44.64,1.33E+11,0.08,2.4
Y,388.47,20.47,42.42,5.05E+11,0.74,5.16,502.96,16.58,53.23,4.76E+11,0.79,7.47,373.75,21.11,55.3,4.70E+11,0.83,9.18,340.29,22.71,36.39,4.55E+11,0.75,7.3,280.54,26.28,30.58,4.35E+11,0.57,5.39
Y,16.75,85.66,631.39,20356736000,0.29,2.73,86.97,53.48,1133.95,45257123000,0.21,3.68,30.56,76.59,117.47,53523669000,0.23,17.68,83.76,54.42,87.8,77413403000,0.61,366.58,9.47,91.35,41.14,62077327000,0.18,69.68
Y,101.36,49.66,32,2.69E+11,0.86,16,89.5,52.77,40.39,2.74E+11,0.81,13.72,84.2,54.29,39.56,2.75E+11,0.76,15.53,96.41,50.91,29.72,3.00E+11,0.68,13.32,124.34,44.57,38.05,2.33E+11,0.67,11.85
Y,133.74,42.78,34.57,1.44E+11,0.73,10.3,153.2,39.49,25.29,1.58E+11,0.68,9.56,960.51,9.43,45.1,1.22E+11,0.61,11.3,160.26,38.42,28.17,1.21E+11,0.65,14.25,135.51,42.46,29.07,1.22E+11,0.66,11.99
Y,61.15,62.05,175.58,1.39E+11,1.06,6.92,63.87,61.02,147.07,1.44E+11,0.99,6.71,46.63,68.2,136.1,1.33E+11,0.9,7.89,28.65,77.73,219.06,1.32E+11,0.6,6.54,22.51,81.62,158.43,1.07E+11,0.77,7.89
Y,155.45,39.15,16.24,9078185000,0.24,8.19,1292.01,7.18,30.86,4300481000,0.38,5.4,496.69,16.76,110.21,22137454000,0.23,7.67,44.11,69.39,54.97,64894881000,0.07,6.7,47.55,67.77,59.61,64684831000,0.07,5.04
Y,103.04,49.25,104.46,5.19E+11,1.67,43.8,112.58,47.04,113.74,5.89E+11,1.42,2483.76,110.41,47.53,105.24,6.14E+11,1.38,3966.83,131.55,43.19,117.28,6.59E+11,1.4,1935.46,81.93,54.97,119.59,5.89E+11,1.16,982.01
Y,24.36,80.41,22.18,5.49E+11,0.05,147.06,27.01,78.73,17.41,5.66E+11,0.05,102.87,27.53,78.41,43.04,5.03E+11,0.06,99.68,17.24,85.3,417.72,4.35E+11,0.07,131.19,12.78,88.67,166.28,3.93E+11,0.08,189.3
Y,21.42,82.36,465.12,98757749000,0.12,0,19.58,83.63,511.93,99179451000,0.06,0,17.67,84.98,691.93,1.04E+11,0.08,0,13.86,87.83,460.18,1.22E+11,0.09,0,12.41,88.96,547.69,1.19E+11,0.01,0
Y,231.42,30.17,61.11,57685285000,1.35,4.84,267.85,27.19,45.09,64963350000,1.27,4.36,293.76,25.4,43.94,74424717000,0.96,2.52,341.67,22.64,40.61,77331263000,0.94,2.27,315.37,24.07,48.63,76228000000,1.09,2.56
Y,22.41,81.69,413.61,1.50E+11,0.77,6.79,18.81,84.17,265.36,1.49E+11,0.88,7.75,14.27,87.51,358.15,1.57E+11,0.78,8.33,13.1,88.42,374.3,1.72E+11,0.69,10.57,16.97,85.49,398.06,1.92E+11,0.68,13.1
Y,22.61,81.56,340.36,4.99E+11,0,1.69,0.01,99.99,370815.33,4.84E+11,0,0,0.01,99.99,773090.21,5.31E+11,0,0,0.01,99.99,430547.21,5.05E+11,0,0,0.01,99.99,341710.62,4.47E+11,0,0
Y,572.61,14.87,91.25,31782835000,0.07,4.64,9045.45,1.09,64.6,25648516000,0.17,17.61,3827.65,2.55,74.03,25803882000,0.17,82.76,3071.04,3.15,81.36,25909075000,0.17,93.69,1995.39,4.77,67.71,25470720000,0.18,125.74
Y,167.43,37.39,69.54,82962828000,2.97,12.03,147.38,40.42,70.43,84743563000,2.59,10.19,136.41,42.3,81.2,91253792000,2.72,11.3,121.91,45.06,70.97,94701069000,2.56,10.07,101.69,49.58,68.46,95695407000,2.38,8.04
Y,104.03,49.01,17.25,89601297000,0.57,4.7,144.99,40.82,10.38,92935299000,0.55,3.56,150.1,39.98,42.32,96187619000,0.58,3.26,190.51,34.42,28.05,1.06E+11,0.53,2.62,156.47,38.99,14.24,97027159000,0.61,3.03
Y,54.58,64.69,450.68,6408219000,0.41,1.8,70.37,58.69,122.36,9322930000,0.29,0.95,19.85,83.44,393.16,8643121000,0.34,0.94,21.22,82.49,385.39,7784228000,0.98,2.54,507.66,16.46,30,4898301000,0.51,1.17
Y,50.37,66.5,154.1,2090778000,1.16,0,65.87,60.29,131.06,2364235000,1.17,0,71.57,58.29,207.82,2713807000,1.19,0,150.17,39.97,185.21,3746945000,1.19,192.07,135.81,42.41,159.6,3852837000,1.06,102.75
Y,4.64,95.57,11282.8,2.32E+11,0.06,0,3.9,96.25,10008.77,2.38E+11,0.06,0,3.01,97.08,4568.66,2.35E+11,0.04,0,2.44,97.62,1659.48,2.33E+11,0.02,0,1.39,98.63,10683.04,2.33E+11,0.03,0
Y,70.4,58.69,162.14,1.60E+11,2.18,26.33,72.1,58.11,164.75,1.64E+11,2.03,20.4,84.59,54.17,156.45,1.72E+11,1.99,18.57,73.33,57.69,161.02,1.57E+11,1.67,14.2,119.64,45.53,135.29,1.80E+11,1.68,15.73
Y,59.13,62.84,229.49,1.89E+11,2.71,14.6,48.15,67.5,161.11,1.95E+11,3.03,17.64,73.98,57.48,114.94,1.87E+11,2.75,17.23,19.06,83.99,433.81,1.24E+11,0.76,7.78,22.95,81.33,439.22,1.21E+11,0.02,62
Y,29.17,77.42,1.8,2.09E+11,0.09,0,23.55,80.94,14.37,2.15E+11,0.09,0,24.71,80.19,0.5,2.38E+11,0.09,0,20.55,82.95,16.18,2.52E+11,0.1,0,16.22,86.05,69.14,2.56E+11,0.06,0
Y,143.52,41.07,160.54,73477172000,1.8,23.36,75.7,56.91,208.88,66472768000,1.68,22.47,67.49,59.71,225.33,69518667000,1.55,19.88,85.58,53.89,168.11,80929687000,1.51,19.17,105.3,48.71,140.77,74695475000,1.4,19.22
Y,48.91,67.15,99.97,4688130000,1.27,14.29,43.23,69.82,112.75,4905764000,1.37,16.72,40.08,71.39,106.22,4863964000,0.93,13.66,40.86,70.99,111.36,4646916000,0.76,14.84,30.64,76.55,156.17,4431664000,0.56,13.6
Y,0,0,14.65,1.66E+11,0.47,6.55,329.8,23.27,64.27,1.37E+11,0.43,5.58,106.41,48.45,19.48,1.85E+11,0.3,4.57,46.52,68.25,74.22,1.07E+11,0.32,5.99,41.12,70.86,89.99,1.04E+11,0.36,7.09
