audit,2015A,2015B,2015C,2015D,2015E,2016A,2016B,2016C,2016D,2016E,2017A,2017B,2017C,2017D,2017E
Y,160.48,1.46,0.97,3.37,88.6,131.99,6.98,1.01,3.25,82.49,124.04,0.08,0.93,2.75,85.97
Y,160.3,3.34,0.33,3.33,21.42,464.47,4.32,0.45,3.53,8.62,383.03,4.27,0.62,3.67,8.81
Y,79.91,3.8,0.56,3.22,155.89,93.11,3.87,0.53,3.76,93.15,88.85,2.85,0.57,4.03,77.84
Y,311.35,-6.07,0.68,6.23,27.15,164.25,-33.4,0.37,2.89,40.66,142.66,-27.49,0.11,1.34,72.84
Y,135.49,-38.24,0,0,76.7,226.74,-57.6,0.35,1.75,57.7,222.31,-19.1,2.09,4.83,51.44
Y,157.38,-36.78,0.69,3.3,35.65,161.31,-11.22,1.56,4.77,109.82,139.31,-29.1,1.19,3.29,112.18
Y,107.31,-8.36,0.29,0.77,103.8,93.82,-21.41,0.31,0.81,135.87,142.19,-17.33,0.36,0.92,92.53
Y,76.5,4.45,0.82,2.51,179.23,110.02,0.28,0.86,2.5,168.57,91.29,-7.03,0.81,2.38,252.43
Y,66.07,-14.16,0.85,2.63,4012.05,63.63,-19.58,0.75,2.18,5543.69,108.68,6.03,0.87,2.09,301.7
Y,142.27,-2.82,1.17,9.78,116.4,157.29,3.96,1.53,12.39,93.56,180.51,9.98,1.72,11.16,87.99
Y,147.35,2.25,0.5,4.61,178.1,246.44,2.83,0.36,3.83,157.98,184.49,3.53,0.35,3.97,84.89
Y,230.08,6.08,0.8,16.07,15.62,201.64,6.48,0.75,17.34,16.41,133.82,6.77,0.76,16.12,22.16
Y,120.36,0.7,1.71,3.76,190.97,116.52,2.09,1.73,3.93,192.52,130.46,5.85,1.57,4.03,160.15
Y,131.26,-13.2,0.45,0.85,222.58,157.14,9.73,0.8,1.51,197.88,134.57,-2.38,0.69,1.3,208.88
Y,132.15,2.24,0.37,2.86,25.74,587.25,-7.45,0.24,1.85,9.53,144.98,-33.89,0.26,3.22,51.53
Y,56.73,4.1,1.04,7.99,159.04,57.25,6.98,1.03,8.87,124.75,62.14,4.07,1.1,8.96,125.82
Y,214.09,0.99,0.02,27.89,0.68,217.64,9.36,0.03,21.9,2.78,55.39,0,0.03,13.85,3.86
Y,53.85,-0.38,0.02,16.02,5.37,6.17,-10.03,0.04,8.43,9.17,95.07,-26.4,0.05,9.25,7.24
Y,88.8,2.8,0.62,5.11,66.06,91.24,3.97,0.6,5.04,61.42,75.28,1.97,0.57,4.59,62.99
Y,80.04,0.96,0.93,7.37,172.29,97.74,-10.51,1.15,14.25,165.85,81.55,3.56,0.81,8.63,124.23
Y,95.68,-10.73,1.28,4.71,190.13,87.3,0.39,0.95,3.96,148.38,95.98,1.47,1.18,5.49,154.32
Y,166.4,1.29,1,2.89,154.11,150.18,1.13,1.06,2.84,161,131.64,0.42,1.02,2.83,160.35
Y,58.91,-10.13,0.55,7.26,357.42,65.09,0.61,0.84,12.88,347.04,52.64,3.85,1.47,19.5,166.68
Y,157.03,-9.83,1.26,4.49,73.09,164.15,5.08,1.56,4.75,62.56,189.51,11.41,1.75,5.3,49.65
Y,87.07,-0.91,0.69,3.57,108.6,121.35,-8.84,0.83,3.89,109.41,211.06,10.06,0.95,3.79,61.09
Y,230.93,3.5,0.9,1.87,51.46,200.95,-16.95,0.67,1.66,50.01,350.13,-3.01,0.9,2.19,32.01
Y,81.04,-6.18,0.63,3.24,785.28,92.39,6.74,0.64,3.08,461.35,84.3,-3.4,0.62,3.1,536.42
Y,147.08,2.04,0.79,2.29,105.35,342.22,1.35,0.68,2.33,46.94,149.04,-24.03,0.24,1.02,115.77
Y,295.04,4.48,0.51,1.15,52.88,280.84,15.37,0.59,1.2,32.67,304.17,9.69,0.5,1.01,38.04
Y,62.02,-8,0.42,3.12,276.52,100.16,-7.45,0.46,3.69,325.65,54.92,-8.24,0.48,3.87,487.9
Y,98.74,1.76,0.97,3.89,532.59,89.97,1.79,1.17,5.17,455.58,119.98,4.59,1.2,5.05,389.82
Y,162.91,2.52,0.87,2.68,143.54,169.99,2.57,0.88,3.02,130.91,187.45,1.23,0.84,3,108.27
Y,96.01,-7.12,0.04,0.1,150.52,142.68,8.22,0.19,0.39,91.84,36.37,-9.72,0.06,0.21,111.21
Y,43.36,-19.21,0.57,4.49,96.88,48.76,-9.73,0.65,5.41,68.47,44.83,-26.55,0.56,4.97,129.12
Y,134.29,7.46,1.06,9.13,81.14,76.63,1.62,1.02,8.44,112.59,73.9,-9.36,1.08,13.13,192.12
Y,107.95,20.15,0.93,1.3,63.78,97.15,2.79,1.01,5.91,45.48,79.41,2.31,1.06,5.54,38.99
Y,1110.55,25.4,0.77,7.59,8.31,281.88,16.32,0.51,6.63,11.61,667.59,12.61,0.44,5.77,5.68
N,110.98,1.03,0.52,2.68,54.33,127.55,0.78,0.51,2.61,63.82,109.93,-4.59,0.52,2.61,82.37
N,53.9,-3.19,0.56,3.17,135.89,56.81,2.1,0.62,4.05,139.68,27.47,1.25,0.22,2.19,23.1
N,287.03,15.12,1.03,9.26,29.19,433.98,13.22,0.91,8.41,22.74,622.51,4.43,0.68,6.87,14.81
N,62.12,-1.23,0.55,2.54,157.56,161.66,-33.27,0.53,1.84,167.25,126,-12.04,0.48,2.22,204.76
N,174.1,0.13,0.6,4.42,357.12,145.97,-2.03,0.52,4.59,376.22,107.52,-2.8,0.58,4.5,407.66
N,278.38,14.38,0.41,3.52,26.33,274.24,13.66,0.37,3.3,28.73,326.57,11.37,0.35,3.25,21.44
N,197.01,2.41,0.59,4.8,42.27,190.83,4.95,0.64,4.89,45.88,155.54,3.24,0.71,5,55.95
N,128.13,2.8,0.69,3.76,64.24,65.72,4.17,0.72,4.38,91,59.41,9.79,0.62,4.83,93.58
N,483.23,5.87,0.53,7.3,40.75,507.17,3.51,0.46,5.56,31.78,246.01,1.5,0.37,4.96,35.35
N,332.35,10.01,0.47,2.54,20.36,192.68,7.95,0.47,2.68,35.94,106.49,10.5,0.49,3,46.86
N,129.83,4.5,0.48,2.49,45.8,137.92,7.22,0.52,2.61,48.45,205.53,7.96,0.55,2.58,27.41
N,237.33,-2.6,0.83,2.2,68.25,85.94,-8.29,0.69,2.62,106.34,109.96,4.26,0.79,3.02,48.3
N,61.65,-2.35,0.35,4.46,102.43,51.41,-9.22,0.3,3.88,124.02,43.91,-9.69,0.27,4.02,115.85
N,774.1,-15.53,0.17,4.04,11.16,317.42,-14.76,0.45,15.72,38.46,556.69,-27.36,0.21,3.85,25.78
N,209.62,-3.51,0.61,14.71,40.85,198.65,3.33,0.52,7.03,37.86,130.72,3.02,0.6,7.46,36.38
N,612.25,4.34,0.6,2.66,13.87,1199.59,4.78,0.58,2.69,6.58,675.87,-0.37,0.35,2.57,15.85
N,400.01,3.78,0.55,4.43,28.82,74.68,-8.92,0.43,3.46,84.74,88.52,-11.57,0.26,2.52,55.83
N,92.87,2.49,0.74,10.32,68.64,87.42,0.8,0.83,12.26,76.48,104.13,-1.43,0.83,7.63,98.34
N,61.96,1.54,0.05,4.78,16.7,62.94,1.88,0.07,3.85,34.24,25.14,0.87,0.08,3.11,52.39
N,240.54,11.87,0.53,2.84,54.92,325.51,5.9,0.39,2.59,27.19,693.45,5.6,0.34,2.95,15.29
N,280.37,-27.13,0.25,1.6,22.75,133.14,-45.81,0.65,3.82,98.89,34.2,-55.58,0.69,4.64,316.14
N,114.08,6.3,0.77,3.71,74.59,136.26,5.58,0.76,3.2,70.56,173.5,2.09,0.7,3.12,67.18
N,370.24,-34.23,0.04,0.14,22.33,816.2,-5.98,0.6,2.31,9.42,2834.11,-3.26,0.35,1.64,3.88
N,170.37,-3.7,0.96,4.4,74.63,191.23,3.5,1.03,5.35,57.8,234.67,1.52,0.92,5.7,36.48
N,133.71,5.35,1.28,3.4,88.15,152.68,8.77,1.37,3.69,77.44,177.24,8.9,1.36,3.59,64.08
N,168.04,3.78,0.31,5.27,71.23,185.71,0.88,0.28,9.34,66.72,166.43,-0.93,0.14,8.14,68.73
N,126.49,4.95,1.16,4.72,61.39,132.71,5.5,1.13,4.78,62.14,121.28,3.08,1.07,4.52,54.91
N,100.58,-0.86,0.81,3.85,57.89,96.14,-20.24,0.82,4.05,76.08,69.62,-33.41,0.86,3.95,91.71
N,136.3,1.51,0.78,5.48,43.17,177.48,3.41,0.83,5.8,36.97,140.9,4.23,0.93,6.06,45.61
N,206.71,3.83,0.66,2.55,35.72,209.08,7.03,0.81,2.28,38.1,187.98,21.27,1.36,3.82,66.05
N,1525.64,8.44,0.09,0,9.84,2254.53,3.94,0.07,0,10.48,214.44,10,0.04,0,10.12
N,130.92,1.23,0.24,5.55,50.15,104.74,0.59,0.27,5.38,56.48,62.2,5.95,0.2,2.89,49.02
N,69.08,-1.17,0.8,4.4,97.75,69.87,2.07,0.97,5.33,95.95,69.28,-0.95,0.82,5.17,96.48
N,284.2,-0.75,0.23,2.04,13.67,339.94,-18.33,0.31,2.2,15.33,437.04,1.97,0.31,2.16,11.8
N,132.41,6.42,1.14,2.64,72.69,127.44,7.92,1.02,2.34,74.26,144.72,4.18,0.96,2.19,55.67
N,97.94,2.93,1.11,3.75,155.56,128.64,2.64,1.07,3.64,148.55,130.37,1,1.07,3.52,88.95
N,114.16,6.13,0.31,6.56,36.92,370.97,10.66,0.37,7.57,42.03,431.68,9.48,0.35,7.17,40.81
N,273.15,1.47,1.15,5.81,33.68,278.86,5.95,1.14,6,34.29,334.31,5.3,1.06,5.66,29.05
N,2349.62,7.04,0.25,10.79,4.66,909.31,3.09,0.28,10.7,6.05,333.42,0.87,0.24,7.12,150.02
N,714.95,2.5,0.73,10.95,13.73,574.14,1.47,0.77,10.13,16.91,652.55,1.71,0.8,11.01,20.11
N,170.78,-1.14,0.36,3.24,71.15,79.03,1.1,0.42,3.26,69.83,116.22,1.49,0.43,2.94,56.51
N,413.82,1.31,0.59,3.9,24.15,773.78,0.82,0.6,3.31,17.49,620.73,6.42,0.72,3.34,15.86
N,110.2,-1.83,1.08,4.57,188.73,116.95,-1.88,1.28,5.73,160.46,105.96,2.36,1.37,7.44,149.81
N,363.79,5.18,1.49,9.99,23.84,462.71,7.7,1.4,10.41,20.62,486.23,9.36,1.23,12.87,16.99
N,169.18,-31.92,0.25,1.04,109.2,67.67,0.33,0.49,2.24,155.41,164.89,-85.78,0.06,0.35,105.2
N,150.05,5.19,1.13,8.76,121.44,152.23,-4.02,1.16,8.92,101.22,135.12,-29.79,1.23,7.7,185.76
N,155.49,1.88,1.2,2.96,85.07,145.86,3.68,1.16,2.96,98.8,174.27,5.11,1.23,3.47,65.27
N,727.32,-8.16,0.36,1.42,19.41,391,-32.61,0.37,1.31,72.73,156.3,-1.72,0.47,1.53,69.48
N,279.27,8.21,0.54,2.79,17.74,276.57,7.37,0.52,2.61,30.52,216.26,7.62,0.47,2.49,42.5
N,190.2,5.3,1.08,3.16,67.63,248.47,3.95,1.2,3.7,40.79,268.26,5.27,1.31,4.1,37.66
N,116.47,4.93,1,7.53,60.87,104.77,6.62,1.07,7.71,86.11,181.24,5.99,0.97,7.97,69.02
N,63.91,3.48,0.38,12.27,89.54,213.19,-0.6,0.65,17.88,94.07,325.36,-26.32,0.51,4.91,20.38
N,199.21,5.87,0.54,14.71,23.4,192.36,-6.39,0.37,9.12,13.83,957.54,-18.87,0.17,7.71,5.94
N,191.6,5.46,1.24,6.59,70.99,179.66,8.51,1.37,6.51,87.87,211.01,9.15,1.7,8.58,67.74
N,725.29,-2.37,0.37,6.17,9.35,755.95,-1.1,0.34,6.25,9.22,709.77,4.82,0.29,6.55,8.91
N,590.06,5.78,1.26,7.55,14.05,806.58,7.98,1.05,8.14,9.66,890.27,2.17,0.76,7.69,7.93
N,15.93,-13.87,0.23,4.01,173.18,23.33,-0.48,0.17,3.14,112.31,6.87,-16.54,0.13,3.8,133.84
N,1260.55,7.85,0.8,14.32,5.02,949.52,23.05,0.46,14.28,49.59,1095.59,1.16,0.35,13.76,46.85
N,386.99,-7.87,0.76,7.66,14.82,279.1,-15.27,0.78,7.87,17.1,332.39,2.98,1,8.96,15.24
N,81.41,1.82,1.18,9.4,131.68,77.92,3.75,1.47,12.59,161.95,80.88,1.76,1.13,8.13,163.75
N,149.91,2.37,1.39,3.38,113.08,146.6,2.29,1.49,3.57,148.67,176.59,0.89,1.3,3.27,95.77
N,402.73,-78.22,0.44,2.94,46.11,735.91,-76.83,0.26,1.38,13.81,993.21,-17.01,0.1,2.55,80.76
N,73.72,5.25,1.14,5.08,296.05,134.94,-5.49,0.38,2.37,77.93,256.38,-3.16,0.28,2.81,52.96
N,131.93,3.15,0.69,2.21,71.8,174.12,-4.31,0.83,2.57,83.59,121.88,-16.3,1.04,3.03,135.53
