audit,2015C,2016C,2017C,2015D,2016D,2017D,2015E,2016E,2017E
Y,0.97,1.01,0.93,3.37,3.25,2.75,88.6,82.49,85.97
Y,0.33,0.45,0.62,3.33,3.53,3.67,21.42,8.62,8.81
Y,0.56,0.53,0.57,3.22,3.76,4.03,155.89,93.15,77.84
Y,0.68,0.37,0.11,6.23,2.89,1.34,27.15,40.66,72.84
Y,0,0.35,2.09,0,1.75,4.83,76.7,57.7,51.44
Y,0.69,1.56,1.19,3.3,4.77,3.29,35.65,109.82,112.18
Y,0.29,0.31,0.36,0.77,0.81,0.92,103.8,135.87,92.53
Y,0.82,0.86,0.81,2.51,2.5,2.38,179.23,168.57,252.43
Y,0.85,0.75,0.87,2.63,2.18,2.09,4012.05,5543.69,301.7
Y,1.17,1.53,1.72,9.78,12.39,11.16,116.4,93.56,87.99
Y,0.5,0.36,0.35,4.61,3.83,3.97,178.1,157.98,84.89
Y,0.8,0.75,0.76,16.07,17.34,16.12,15.62,16.41,22.16
Y,1.71,1.73,1.57,3.76,3.93,4.03,190.97,192.52,160.15
Y,0.45,0.8,0.69,0.85,1.51,1.3,222.58,197.88,208.88
Y,0.37,0.24,0.26,2.86,1.85,3.22,25.74,9.53,51.53
Y,1.04,1.03,1.1,7.99,8.87,8.96,159.04,124.75,125.82
Y,0.02,0.03,0.03,27.89,21.9,13.85,0.68,2.78,3.86
Y,0.02,0.04,0.05,16.02,8.43,9.25,5.37,9.17,7.24
Y,0.62,0.6,0.57,5.11,5.04,4.59,66.06,61.42,62.99
Y,0.93,1.15,0.81,7.37,14.25,8.63,172.29,165.85,124.23
Y,1.28,0.95,1.18,4.71,3.96,5.49,190.13,148.38,154.32
Y,1,1.06,1.02,2.89,2.84,2.83,154.11,161,160.35
Y,0.55,0.84,1.47,7.26,12.88,19.5,357.42,347.04,166.68
Y,1.26,1.56,1.75,4.49,4.75,5.3,73.09,62.56,49.65
Y,0.69,0.83,0.95,3.57,3.89,3.79,108.6,109.41,61.09
Y,0.9,0.67,0.9,1.87,1.66,2.19,51.46,50.01,32.01
Y,0.63,0.64,0.62,3.24,3.08,3.1,785.28,461.35,536.42
Y,0.79,0.68,0.24,2.29,2.33,1.02,105.35,46.94,115.77
Y,0.51,0.59,0.5,1.15,1.2,1.01,52.88,32.67,38.04
Y,0.42,0.46,0.48,3.12,3.69,3.87,276.52,325.65,487.9
Y,0.97,1.17,1.2,3.89,5.17,5.05,532.59,455.58,389.82
Y,0.87,0.88,0.84,2.68,3.02,3,143.54,130.91,108.27
Y,0.04,0.19,0.06,0.1,0.39,0.21,150.52,91.84,111.21
Y,0.57,0.65,0.56,4.49,5.41,4.97,96.88,68.47,129.12
Y,1.06,1.02,1.08,9.13,8.44,13.13,81.14,112.59,192.12
Y,0.93,1.01,1.06,1.3,5.91,5.54,63.78,45.48,38.99
Y,0.77,0.51,0.44,7.59,6.63,5.77,8.31,11.61,5.68
N,0.52,0.51,0.52,2.68,2.61,2.61,54.33,63.82,82.37
N,0.56,0.62,0.22,3.17,4.05,2.19,135.89,139.68,23.1
N,1.03,0.91,0.68,9.26,8.41,6.87,29.19,22.74,14.81
N,0.55,0.53,0.48,2.54,1.84,2.22,157.56,167.25,204.76
N,0.6,0.52,0.58,4.42,4.59,4.5,357.12,376.22,407.66
N,0.41,0.37,0.35,3.52,3.3,3.25,26.33,28.73,21.44
N,0.59,0.64,0.71,4.8,4.89,5,42.27,45.88,55.95
N,0.69,0.72,0.62,3.76,4.38,4.83,64.24,91,93.58
N,0.53,0.46,0.37,7.3,5.56,4.96,40.75,31.78,35.35
N,0.47,0.47,0.49,2.54,2.68,3,20.36,35.94,46.86
N,0.48,0.52,0.55,2.49,2.61,2.58,45.8,48.45,27.41
N,0.83,0.69,0.79,2.2,2.62,3.02,68.25,106.34,48.3
N,0.35,0.3,0.27,4.46,3.88,4.02,102.43,124.02,115.85
N,0.17,0.45,0.21,4.04,15.72,3.85,11.16,38.46,25.78
N,0.61,0.52,0.6,14.71,7.03,7.46,40.85,37.86,36.38
N,0.6,0.58,0.35,2.66,2.69,2.57,13.87,6.58,15.85
N,0.55,0.43,0.26,4.43,3.46,2.52,28.82,84.74,55.83
N,0.74,0.83,0.83,10.32,12.26,7.63,68.64,76.48,98.34
N,0.05,0.07,0.08,4.78,3.85,3.11,16.7,34.24,52.39
N,0.53,0.39,0.34,2.84,2.59,2.95,54.92,27.19,15.29
N,0.25,0.65,0.69,1.6,3.82,4.64,22.75,98.89,316.14
N,0.77,0.76,0.7,3.71,3.2,3.12,74.59,70.56,67.18
N,0.04,0.6,0.35,0.14,2.31,1.64,22.33,9.42,3.88
N,0.96,1.03,0.92,4.4,5.35,5.7,74.63,57.8,36.48
N,1.28,1.37,1.36,3.4,3.69,3.59,88.15,77.44,64.08
N,0.31,0.28,0.14,5.27,9.34,8.14,71.23,66.72,68.73
N,1.16,1.13,1.07,4.72,4.78,4.52,61.39,62.14,54.91
N,0.81,0.82,0.86,3.85,4.05,3.95,57.89,76.08,91.71
N,0.78,0.83,0.93,5.48,5.8,6.06,43.17,36.97,45.61
N,0.66,0.81,1.36,2.55,2.28,3.82,35.72,38.1,66.05
N,0.09,0.07,0.04,0,0,0,9.84,10.48,10.12
N,0.24,0.27,0.2,5.55,5.38,2.89,50.15,56.48,49.02
N,0.8,0.97,0.82,4.4,5.33,5.17,97.75,95.95,96.48
N,0.23,0.31,0.31,2.04,2.2,2.16,13.67,15.33,11.8
N,1.14,1.02,0.96,2.64,2.34,2.19,72.69,74.26,55.67
N,1.11,1.07,1.07,3.75,3.64,3.52,155.56,148.55,88.95
N,0.31,0.37,0.35,6.56,7.57,7.17,36.92,42.03,40.81
N,1.15,1.14,1.06,5.81,6,5.66,33.68,34.29,29.05
N,0.25,0.28,0.24,10.79,10.7,7.12,4.66,6.05,150.02
N,0.73,0.77,0.8,10.95,10.13,11.01,13.73,16.91,20.11
N,0.36,0.42,0.43,3.24,3.26,2.94,71.15,69.83,56.51
N,0.59,0.6,0.72,3.9,3.31,3.34,24.15,17.49,15.86
N,1.08,1.28,1.37,4.57,5.73,7.44,188.73,160.46,149.81
N,1.49,1.4,1.23,9.99,10.41,12.87,23.84,20.62,16.99
N,0.25,0.49,0.06,1.04,2.24,0.35,109.2,155.41,105.2
N,1.13,1.16,1.23,8.76,8.92,7.7,121.44,101.22,185.76
N,1.2,1.16,1.23,2.96,2.96,3.47,85.07,98.8,65.27
N,0.36,0.37,0.47,1.42,1.31,1.53,19.41,72.73,69.48
N,0.54,0.52,0.47,2.79,2.61,2.49,17.74,30.52,42.5
N,1.08,1.2,1.31,3.16,3.7,4.1,67.63,40.79,37.66
N,1,1.07,0.97,7.53,7.71,7.97,60.87,86.11,69.02
N,0.38,0.65,0.51,12.27,17.88,4.91,89.54,94.07,20.38
N,0.54,0.37,0.17,14.71,9.12,7.71,23.4,13.83,5.94
N,1.24,1.37,1.7,6.59,6.51,8.58,70.99,87.87,67.74
N,0.37,0.34,0.29,6.17,6.25,6.55,9.35,9.22,8.91
N,1.26,1.05,0.76,7.55,8.14,7.69,14.05,9.66,7.93
N,0.23,0.17,0.13,4.01,3.14,3.8,173.18,112.31,133.84
N,0.8,0.46,0.35,14.32,14.28,13.76,5.02,49.59,46.85
N,0.76,0.78,1,7.66,7.87,8.96,14.82,17.1,15.24
N,1.18,1.47,1.13,9.4,12.59,8.13,131.68,161.95,163.75
N,1.39,1.49,1.3,3.38,3.57,3.27,113.08,148.67,95.77
N,0.44,0.26,0.1,2.94,1.38,2.55,46.11,13.81,80.76
N,1.14,0.38,0.28,5.08,2.37,2.81,296.05,77.93,52.96
N,0.69,0.83,1.04,2.21,2.57,3.03,71.8,83.59,135.53
